number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
65,0.04459515525038096,2026-07-20 16:48:15.587094,2026-07-20 16:48:34.556468,0 days 00:00:18.969374,15.0,0.05,5,150,1.5,7.0,0.08,5,300,10.0,0.03,5,150,COMPLETE
66,0.032570297497982625,2026-07-20 16:48:34.664599,2026-07-20 16:48:39.554725,0 days 00:00:04.890126,15.0,0.05,5,150,1.0,10.0,0.07,5,100,10.0,0.03,5,150,COMPLETE
67,0.04553328032712403,2026-07-20 16:48:39.661026,2026-07-20 16:49:01.030737,0 days 00:00:21.369711,15.0,0.04,5,150,1.5,8.0,0.08,6,300,10.0,0.03,5,150,COMPLETE
68,0.038736657270920946,2026-07-20 16:49:01.164323,2026-07-20 16:49:22.426293,0 days 00:00:21.261970,15.0,0.04,5,150,1.5,8.0,0.07,6,300,10.0,0.03,5,150,COMPLETE
69,0.03735764235764236,2026-07-20 16:49:22.560311,2026-07-20 16:49:42.866809,0 days 00:00:20.306498,15.0,0.04,4,150,1.5,9.0,0.08,6,300,10.0,0.03,5,50,COMPLETE
70,0.04037664812486018,2026-07-20 16:49:42.969974,2026-07-20 16:50:03.375863,0 days 00:00:20.405889,15.0,0.02,5,150,1.5,8.0,0.06,6,300,10.0,0.03,5,150,COMPLETE
71,0.04228881370330387,2026-07-20 16:50:03.516660,2026-07-20 16:50:22.673444,0 days 00:00:19.156784,15.0,0.05,5,150,1.5,7.0,0.08,5,300,10.0,0.03,5,100,COMPLETE
72,0.038010992453808096,2026-07-20 16:50:22.781558,2026-07-20 16:50:41.624565,0 days 00:00:18.843007,15.0,0.05,5,150,1.5,9.0,0.08,5,300,10.0,0.03,5,100,COMPLETE
73,0.036247324067047934,2026-07-20 16:50:41.738063,2026-07-20 16:51:00.890571,0 days 00:00:19.152508,15.0,0.05,5,150,1.0,7.0,0.08,5,300,10.0,0.03,5,150,COMPLETE
74,0.034349152072455064,2026-07-20 16:51:01.002415,2026-07-20 16:51:23.347881,0 days 00:00:22.345466,15.0,0.04,5,200,1.5,10.0,0.09,6,300,10.0,0.03,5,150,COMPLETE
75,0.03663124051497077,2026-07-20 16:51:23.473890,2026-07-20 16:51:43.281086,0 days 00:00:19.807196,15.0,0.04,5,150,1.5,9.0,0.05,6,300,10.0,0.03,5,150,COMPLETE
76,0.04677789171688308,2026-07-20 16:51:43.379727,2026-07-20 16:52:02.396241,0 days 00:00:19.016514,15.0,0.02,5,150,1.5,8.0,0.04,5,300,15.0,0.03,5,150,COMPLETE
77,0.03378221992485554,2026-07-20 16:52:02.523324,2026-07-20 16:52:26.816910,0 days 00:00:24.293586,15.0,0.02,4,100,1.5,3.0,0.04,8,300,15.0,0.03,4,150,COMPLETE
78,0.04109251530704994,2026-07-20 16:52:26.947847,2026-07-20 16:52:32.992691,0 days 00:00:06.044844,15.0,0.02,5,150,1.0,8.0,0.04,6,150,15.0,0.03,5,150,COMPLETE
79,0.04142623994016616,2026-07-20 16:52:33.098591,2026-07-20 16:52:56.321441,0 days 00:00:23.222850,15.0,0.02,5,150,1.5,9.0,0.03,8,300,15.0,0.04,5,100,COMPLETE
80,0.03227118686253905,2026-07-20 16:52:56.438990,2026-07-20 16:53:17.414429,0 days 00:00:20.975439,15.0,0.01,5,200,1.5,10.0,0.05,6,300,15.0,0.02,5,100,COMPLETE
81,0.04679373877958949,2026-07-20 16:53:17.552352,2026-07-20 16:53:37.455899,0 days 00:00:19.903547,15.0,0.02,5,150,1.5,7.0,0.08,5,300,30.0,0.03,5,150,COMPLETE
82,0.04191133621478335,2026-07-20 16:53:37.564750,2026-07-20 16:53:57.227227,0 days 00:00:19.662477,15.0,0.02,5,150,1.5,8.0,0.09,5,300,30.0,0.03,5,150,COMPLETE
83,0.04249055064163261,2026-07-20 16:53:57.330670,2026-07-20 16:54:16.375131,0 days 00:00:19.044461,15.0,0.02,5,150,1.5,1.0,0.04,5,300,30.0,0.03,5,150,COMPLETE
84,0.04751320795403785,2026-07-20 16:54:16.488665,2026-07-20 16:54:36.199552,0 days 00:00:19.710887,15.0,0.02,5,150,1.5,6.0,0.09,5,300,30.0,0.03,5,150,COMPLETE
85,0.03971449965942307,2026-07-20 16:54:36.311835,2026-07-20 16:54:55.362766,0 days 00:00:19.050931,15.0,0.02,5,150,1.5,6.0,0.06,5,300,30.0,0.03,5,150,COMPLETE
