number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
82,0.04245470914693014,2026-07-20 16:05:43.393893,2026-07-20 16:06:05.069193,0 days 00:00:21.675300,20.0,0.05,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
83,0.04245470914693014,2026-07-20 16:06:05.192604,2026-07-20 16:06:26.784977,0 days 00:00:21.592373,20.0,0.05,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
84,0.04571242032594962,2026-07-20 16:06:26.925641,2026-07-20 16:06:48.714315,0 days 00:00:21.788674,20.0,0.05,6,50,2.0,7.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
85,0.03912690576011876,2026-07-20 16:06:48.849355,2026-07-20 16:07:10.698920,0 days 00:00:21.849565,20.0,0.05,6,50,2.0,9.0,0.1,7,250,30.0,0.03,4,150,COMPLETE
86,0.02952358810423325,2026-07-20 16:07:10.819268,2026-07-20 16:07:31.279686,0 days 00:00:20.460418,20.0,0.05,6,50,2.0,8.0,0.05,7,250,20.0,0.03,4,150,COMPLETE
87,0.03886544609125253,2026-07-20 16:07:31.421629,2026-07-20 16:07:54.404424,0 days 00:00:22.982795,20.0,0.05,6,50,2.0,2.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
88,0.035353688487310866,2026-07-20 16:07:54.508386,2026-07-20 16:08:12.813734,0 days 00:00:18.305348,20.0,0.05,6,50,2.0,4.0,0.1,7,200,15.0,0.03,3,150,COMPLETE
89,0.038679443805947206,2026-07-20 16:08:12.912744,2026-07-20 16:08:18.936776,0 days 00:00:06.024032,20.0,0.05,6,50,2.0,7.0,0.07,6,150,25.0,0.03,4,100,COMPLETE
90,0.04376454530467022,2026-07-20 16:08:19.044257,2026-07-20 16:08:42.154129,0 days 00:00:23.109872,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
91,0.04376454530467022,2026-07-20 16:08:42.274430,2026-07-20 16:09:04.937434,0 days 00:00:22.663004,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
92,0.04376454530467022,2026-07-20 16:09:05.062845,2026-07-20 16:09:27.048149,0 days 00:00:21.985304,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
93,0.04376454530467022,2026-07-20 16:09:27.162820,2026-07-20 16:09:48.153533,0 days 00:00:20.990713,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
94,0.04376454530467022,2026-07-20 16:09:48.271672,2026-07-20 16:10:09.637416,0 days 00:00:21.365744,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
95,0.04376454530467022,2026-07-20 16:10:09.789305,2026-07-20 16:10:30.963738,0 days 00:00:21.174433,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
96,0.04376454530467022,2026-07-20 16:10:31.103163,2026-07-20 16:10:52.259394,0 days 00:00:21.156231,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
97,0.04376454530467022,2026-07-20 16:10:52.391404,2026-07-20 16:11:14.396366,0 days 00:00:22.004962,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
98,0.03595615024839116,2026-07-20 16:11:14.521533,2026-07-20 16:11:36.095008,0 days 00:00:21.573475,5.0,0.05,6,50,2.0,3.0,0.09,7,250,20.0,0.03,3,150,COMPLETE
99,0.04376454530467022,2026-07-20 16:11:36.230031,2026-07-20 16:11:57.647174,0 days 00:00:21.417143,20.0,0.05,6,50,2.0,3.0,0.1,7,250,20.0,0.03,3,150,COMPLETE
